species,seed,property,coefficient,spearman,r2,mae,spearman_ci_lo,spearman_ci_hi
e_coli,6,net_charge,2,0.8076476815817843,0.6479650746997543,0.9503695112615803,0.7787029274652348,0.8331803212868711
e_coli,6,net_charge,3,0.7305331897478976,0.5207009273659546,1.0660253660244725,0.6914266511146383,0.7637163380796175
e_coli,6,charge_density,0,0.9619061107897123,0.9290328321318347,0.02742718771850345,0.9535850076080515,0.967464599379758
e_coli,6,charge_density,1,0.8640469675471992,0.76468532528731,0.05028069852588728,0.8379878309096858,0.8855288309557955
e_coli,6,charge_density,2,0.8147094723026115,0.6882139865163434,0.0580089156311572,0.7818266765982652,0.842364673662138
e_coli,6,charge_density,3,0.7817865956692592,0.6205584116228274,0.06427454609480275,0.7488282163247694,0.8108870178025273
e_coli,6,pI,0,0.8756112854486067,0.6983254315393824,0.5223872470716894,0.8525401123790859,0.8943669100943242
e_coli,6,pI,1,0.7773583478693782,0.5439334901676744,0.6468057608847361,0.7434060075030092,0.8069072482169813
e_coli,6,pI,2,0.7309705162596062,0.46310507317825467,0.6973776250947508,0.6944266565390984,0.7688219572322779
e_coli,6,pI,3,0.6875638592783686,0.3747176749329244,0.7322061219416675,0.6416923738250996,0.7310459971907003
e_coli,6,mean_hydrophobicity,0,0.970382650308719,0.9527289683210745,0.1616623467167332,0.9649721213728957,0.9749195396727609
e_coli,6,mean_hydrophobicity,1,0.8694016734842726,0.7878691157499662,0.3411156607304793,0.8452792065596193,0.8891749330555115
e_coli,6,mean_hydrophobicity,2,0.8699812968179288,0.7670931341005931,0.3514341069634287,0.8443938887338496,0.8912722675401203
e_coli,6,mean_hydrophobicity,3,0.781829253529027,0.6193194898700106,0.46495764348687907,0.7513184002778096,0.8112906831401521
e_coli,6,hydrophilic_fraction,0,0.9501846964071349,0.9136274554478554,0.027917694049391192,0.9408851893526313,0.95745543702483
e_coli,6,hydrophilic_fraction,1,0.8402730488709753,0.7132290138570265,0.04881077814197786,0.8107899652236116,0.8629110228900281
e_coli,6,hydrophilic_fraction,2,0.8110481179425629,0.6505604763013584,0.053887759304499315,0.777752062360124,0.8362639156610965
e_coli,6,hydrophilic_fraction,3,0.7684063636579419,0.6021408258613374,0.05915275228080822,0.7297441888212772,0.799366689835326
e_coli,6,helix_propensity,0,0.9436416828142447,0.915796098212118,0.03462365245387948,0.9325675518308707,0.9528193484872703
