species,seed,property,delta,ci_lo,ci_hi,significant
e_coli,6,mean_hydrophobicity,0.1009809768244464,0.0821221953078853,0.12391527104609354,True
e_coli,6,hydrophilic_fraction,0.10991164753615956,0.08788522252191737,0.13593487314883504,True
e_coli,6,helix_propensity,0.1562505232805671,0.13004767373903128,0.18599660245001512,True
e_coli,6,hydrophobic_moment,0.11905677931333258,0.0841139246612644,0.153381553341494,True
e_coli,7,net_charge,0.07407061835575734,0.05774712556494305,0.09357657237396709,True
e_coli,7,charge_density,0.07287387220446573,0.05862984434970244,0.0905768851723623,True
e_coli,7,pI,0.057531254425446154,0.03034212411069553,0.08499383828331371,True
e_coli,7,mean_hydrophobicity,0.08107742989990785,0.06588606160161559,0.09858739591455822,True
e_coli,7,hydrophilic_fraction,0.0636800612198355,0.047595117292877936,0.0812382768105635,True
e_coli,7,helix_propensity,0.14393161840437718,0.11524410103665549,0.17610992561284555,True
e_coli,7,hydrophobic_moment,0.10074332813604259,0.06036673753234448,0.14070884686084378,True
e_coli,8,net_charge,0.0626040500658599,0.04832736890931552,0.07876735555411013,True
e_coli,8,charge_density,0.11058342526859333,0.08981088108910375,0.1333647234789267,True
e_coli,8,pI,0.023792014008468865,0.0029444692404856257,0.0466349805329003,True
e_coli,8,mean_hydrophobicity,0.09262343122198702,0.07528485532007025,0.11197945998559576,True
e_coli,8,hydrophilic_fraction,0.0874262885210364,0.06984907499762144,0.10707843893680632,True
e_coli,8,helix_propensity,0.18567070534483832,0.15148494737034998,0.2233232391439994,True
e_coli,8,hydrophobic_moment,0.031167183962393485,-0.0021075318579195784,0.0659041462513986,False
e_coli,9,net_charge,0.058966206242837216,0.04501921906166799,0.07568871158001596,True
e_coli,9,charge_density,0.09807094226574176,0.08086592143970553,0.11999090823154147,True
e_coli,9,pI,0.08150900570365938,0.05416979586146906,0.10997665896897693,True
e_coli,9,mean_hydrophobicity,0.10857366684953429,0.0904723880351136,0.1310168522388183,True
e_coli,9,hydrophilic_fraction,0.10827309684462705,0.0900362889848123,0.12934887677526302,True
e_coli,9,helix_propensity,0.15247074253262693,0.12794578421465533,0.18333686209811334,True
e_coli,9,hydrophobic_moment,0.05827341959569354,0.0315814331361806,0.08883031249260498,True
s_aureus,0,net_charge,0.08297875788882392,0.05864683544034148,0.11081974140809689,True
s_aureus,0,charge_density,0.09348896271074891,0.07139522420866745,0.11767334102013498,True
s_aureus,0,pI,0.11558805493747726,0.08460195703673282,0.14679571843333755,True
s_aureus,0,mean_hydrophobicity,0.10114380890734709,0.07929540223509854,0.128510940827892,True
s_aureus,0,hydrophilic_fraction,0.10481973077027351,0.08100272906121296,0.13284717367300097,True
s_aureus,0,helix_propensity,0.19439002912306302,0.15907855995455764,0.2338911087705916,True
s_aureus,0,hydrophobic_moment,0.04088916019300748,0.02043711024652417,0.06211786938307531,True
s_aureus,1,net_charge,0.11692479565424418,0.08875298174378735,0.1447662901711728,True
s_aureus,1,charge_density,0.09322344429832174,0.07047345114249594,0.11619194131671032,True
s_aureus,1,pI,0.12922900973539275,0.09412142586656658,0.16765786574320796,True
s_aureus,1,mean_hydrophobicity,0.12733595354408755,0.09922616056443123,0.15836402061031452,True
s_aureus,1,hydrophilic_fraction,0.13649903222578363,0.10438773947366423,0.17358138332030032,True
s_aureus,1,helix_propensity,0.19245117284494262,0.15905023557543801,0.22846226909395884,True
s_aureus,1,hydrophobic_moment,0.12245337163876724,0.09218634508160582,0.15413678072970888,True
s_aureus,2,net_charge,0.0693863153780453,0.049078286698004625,0.09273498966416631,True
s_aureus,2,charge_density,0.06030028603673221,0.04608289327874636,0.0768865165780916,True
s_aureus,2,pI,0.11592181357394848,0.08468715195751479,0.14999567449429635,True
s_aureus,2,mean_hydrophobicity,0.10223401663733644,0.08036562713000366,0.12817696265257525,True
s_aureus,2,hydrophilic_fraction,0.10723454551949241,0.0843274927643729,0.13683183566184837,True
s_aureus,2,helix_propensity,0.18476277461362545,0.15239406302882105,0.2225610316518954,True
s_aureus,2,hydrophobic_moment,0.0666280917514338,0.03775733681384003,0.09593589658683387,True
s_aureus,3,net_charge,0.14617235635578096,0.11468911685174839,0.1791075448645454,True
s_aureus,3,charge_density,0.1341241067765424,0.10854917622326127,0.16430824443354372,True
s_aureus,3,pI,0.14396546153147793,0.11179880241748898,0.1773422758198188,True
s_aureus,3,mean_hydrophobicity,0.07814636378580164,0.05804736919623028,0.10058973107800076,True
s_aureus,3,hydrophilic_fraction,0.1388041764638246,0.11079007859313365,0.16942387968442799,True
s_aureus,3,helix_propensity,0.18459385937095785,0.1555786176902236,0.21726398029821728,True
s_aureus,3,hydrophobic_moment,0.08933566063838438,0.06053708017461775,0.12167536780412415,True
s_aureus,4,net_charge,0.10526495524709067,0.08054891498392629,0.13436351668713228,True
s_aureus,4,charge_density,0.07032075875484478,0.05443306844020371,0.08787740707536165,True
s_aureus,4,pI,0.08699417091207795,0.05853243471774784,0.11612462523057895,True
s_aureus,4,mean_hydrophobicity,0.13761847959788953,0.11425877323625813,0.1653063371097998,True
s_aureus,4,hydrophilic_fraction,0.1622146449713775,0.132831216151741,0.19699586260738738,True
s_aureus,4,helix_propensity,0.14814084812730477,0.11914768334391863,0.17984989716832242,True
s_aureus,4,hydrophobic_moment,0.16143645376355897,0.11161354366851646,0.2119045032736211,True
s_aureus,5,net_charge,0.06797396068112549,0.04873643879639745,0.0893646418756545,True
s_aureus,5,charge_density,0.06411587701976773,0.048601660379314224,0.08074276501335365,True
s_aureus,5,pI,0.12974359458048967,0.1019990799262474,0.1652403328466868,True
s_aureus,5,mean_hydrophobicity,0.12112239749379106,0.09880969648890146,0.14816431528383278,True
s_aureus,5,hydrophilic_fraction,0.14636459465591523,0.12041098720761977,0.17869401238143276,True
s_aureus,5,helix_propensity,0.21545123963547563,0.17481227453886491,0.2558277684655725,True
s_aureus,5,hydrophobic_moment,0.055779889823058926,0.024038664818830383,0.08785398975130884,True
s_aureus,6,net_charge,0.10934225887711391,0.08165839076444424,0.14135512862777408,True
s_aureus,6,charge_density,0.09817378082841355,0.07560790076814145,0.12409333575272802,True
s_aureus,6,pI,0.10645415035815531,0.07903810559315137,0.13501101575268845,True
s_aureus,6,mean_hydrophobicity,0.12622324991046152,0.104141118517748,0.15106394888868438,True
s_aureus,6,hydrophilic_fraction,0.17656774087951266,0.14715895537158674,0.2100157727704169,True
s_aureus,6,helix_propensity,0.16441201621971413,0.13647400348819677,0.19474601631316502,True
s_aureus,6,hydrophobic_moment,0.15281180258837046,0.12080887689803466,0.18767246556196415,True
s_aureus,7,net_charge,0.10187485843672406,0.0790605679889837,0.127037356521666,True
s_aureus,7,charge_density,0.1084921122421969,0.08733659807016662,0.13332739571592556,True
s_aureus,7,pI,0.10156019477284606,0.07333874317056849,0.13201655901033324,True
s_aureus,7,mean_hydrophobicity,0.08228209506999529,0.06562467998082502,0.10234727868536962,True
s_aureus,7,hydrophilic_fraction,0.09272858622406499,0.07201918032747558,0.11480580416841733,True
s_aureus,7,helix_propensity,0.15411278147424834,0.12111885586011834,0.18618755620614058,True
s_aureus,7,hydrophobic_moment,0.14852177366890063,0.11133878298913945,0.18666390366582547,True
s_aureus,8,net_charge,0.08032766752496967,0.05948172470126781,0.10353611192885898,True
s_aureus,8,charge_density,0.09528684810921428,0.07504182586507624,0.117127609268843,True
s_aureus,8,pI,0.07582076645434943,0.049306975412324316,0.10209610860575775,True
s_aureus,8,mean_hydrophobicity,0.11293267004194996,0.08620201951979559,0.14160128081884318,True
s_aureus,8,hydrophilic_fraction,0.09122387023042178,0.06474206809457897,0.1206593900490148,True
s_aureus,8,helix_propensity,0.17520153888605516,0.13977672977163663,0.21218058916857693,True
s_aureus,8,hydrophobic_moment,0.10799062555745331,0.0702158442344035,0.14607995550500444,True
s_aureus,9,net_charge,0.06430718492224552,0.04237152946817431,0.08590834481455197,True
s_aureus,9,charge_density,0.07097431369621965,0.05584055184473299,0.08790595222640006,True
s_aureus,9,pI,0.15697025892833438,0.12598499425024123,0.19186750488265503,True
s_aureus,9,mean_hydrophobicity,0.05261393495643785,0.03742309971447552,0.07131520379187146,True
s_aureus,9,hydrophilic_fraction,0.08311556846046808,0.06460577961552717,0.10447348224736319,True
s_aureus,9,helix_propensity,0.19028626788260283,0.15587859566363022,0.22453361911287587,True
s_aureus,9,hydrophobic_moment,0.05066484903322055,0.024672974207884432,0.08135040913499604,True
