species,property,coefficient,coefficient_label,n_seeds,spearman_mean,spearman_std,spearman_mean_pm_std,r2_mean,r2_std,r2_mean_pm_std,mae_mean,mae_std,mae_mean_pm_std,spearman_ci_lo_mean,spearman_ci_lo_std,spearman_ci_lo_mean_pm_std,spearman_ci_hi_mean,spearman_ci_hi_std,spearman_ci_hi_mean_pm_std,spearman_ci_range
s_aureus,hydrophilic_fraction,1,B1,10,0.8209971750511486,0.02930649162850641,0.821 ± 0.029,0.7023522195602775,0.051996428190273995,0.702 ± 0.052,0.04901503614445799,0.004103795397123296,0.049 ± 0.004,0.7878015667442387,0.03365652313674023,0.788 ± 0.034,0.8486692912496014,0.02646981065858462,0.849 ± 0.026,"[0.788, 0.849]"
s_aureus,hydrophilic_fraction,2,B2,10,0.808002663928915,0.03452382305426111,0.808 ± 0.035,0.6749678934554213,0.04341517177762379,0.675 ± 0.043,0.051376980994488376,0.0038869601857785805,0.051 ± 0.004,0.7748577824478847,0.03972722877917601,0.775 ± 0.040,0.8367740194180122,0.030526991522116156,0.837 ± 0.031,"[0.775, 0.837]"
s_aureus,hydrophilic_fraction,3,B3,10,0.7039417396033085,0.05671082214449564,0.704 ± 0.057,0.5209528146945865,0.06773205923000757,0.521 ± 0.068,0.06222736274640752,0.004659245133815461,0.062 ± 0.005,0.6577517651845669,0.0633434272777423,0.658 ± 0.063,0.7453620325568769,0.05039930525533192,0.745 ± 0.050,"[0.658, 0.745]"
s_aureus,helix_propensity,0,B~0,10,0.944523015450948,0.00901079118474369,0.945 ± 0.009,0.9007698206609283,0.016113120415884235,0.901 ± 0.016,0.03646708849689599,0.0031386784268789174,0.036 ± 0.003,0.9332840949426927,0.011149761898842267,0.933 ± 0.011,0.9529304582296783,0.007501334108580642,0.953 ± 0.008,"[0.933, 0.953]"
s_aureus,helix_propensity,1,B1,10,0.764142762633149,0.02432609863590215,0.764 ± 0.024,0.6248942030176167,0.04865445747001086,0.625 ± 0.049,0.07047855332500065,0.004405464502363023,0.070 ± 0.004,0.7255351045551267,0.027457918591967813,0.726 ± 0.027,0.7986573184069231,0.021298262412138762,0.799 ± 0.021,"[0.726, 0.799]"
s_aureus,helix_propensity,2,B2,10,0.7424664990175668,0.05112597864834203,0.742 ± 0.051,0.573882890509618,0.0687684343256719,0.574 ± 0.069,0.07472121759737646,0.006667053452513396,0.075 ± 0.007,0.7005311480259888,0.05802470396881052,0.701 ± 0.058,0.7787958375717099,0.044439556742150665,0.779 ± 0.044,"[0.701, 0.779]"
s_aureus,helix_propensity,3,B3,10,0.6551344071473844,0.049025255094010824,0.655 ± 0.049,0.4534657203767739,0.0563977967823639,0.453 ± 0.056,0.08520081761032985,0.005479774151817453,0.085 ± 0.005,0.6056293781194555,0.05487423069752931,0.606 ± 0.055,0.7002250256384875,0.04384542580977472,0.700 ± 0.044,"[0.606, 0.700]"
s_aureus,hydrophobic_moment,0,B~0,10,0.8620943812220592,0.027448189004637327,0.862 ± 0.027,0.750420272473187,0.04436273144914963,0.750 ± 0.044,0.212710464607775,0.021085143564247087,0.213 ± 0.021,0.8366878091428683,0.03259326442057147,0.837 ± 0.033,0.8830493073023433,0.023189544836530903,0.883 ± 0.023,"[0.837, 0.883]"
s_aureus,hydrophobic_moment,1,B1,10,0.7624432133564436,0.06126198987021433,0.762 ± 0.061,0.5993759545807452,0.08333463738711704,0.599 ± 0.083,0.27295187717466013,0.030515970616659498,0.273 ± 0.031,0.7232425883112951,0.06996681174571798,0.723 ± 0.070,0.7973971669500599,0.051083381341079905,0.797 ± 0.051,"[0.723, 0.797]"
s_aureus,hydrophobic_moment,2,B2,10,0.719148510982692,0.06328398134780303,0.719 ± 0.063,0.5466037120561581,0.07442121742979664,0.547 ± 0.074,0.2939152988038022,0.026094252449026606,0.294 ± 0.026,0.6755015751128679,0.0706056356968263,0.676 ± 0.071,0.7575930441360826,0.05487421077203768,0.758 ± 0.055,"[0.676, 0.758]"
s_aureus,hydrophobic_moment,3,B3,10,0.6481864249846889,0.06401321138919012,0.648 ± 0.064,0.45303620905628855,0.07452869076054769,0.453 ± 0.075,0.3233827894942513,0.01893210735976863,0.323 ± 0.019,0.5947927593906643,0.07041557827207369,0.595 ± 0.070,0.695090523797275,0.05779791561018944,0.695 ± 0.058,"[0.595, 0.695]"
