species,seed,property,dc_spearman,best_non_dc_spearman,dc_preference,dc_ci_excludes_zero,dc_beats_non_dc
s_aureus,4,mean_hydrophobicity,0.9693280304893271,0.8317095508914376,0.13761847959788953,True,True
s_aureus,4,net_charge,0.9360498352354463,0.8307848799883556,0.10526495524709067,True,True
s_aureus,4,pI,0.9131214468206722,0.8261272759085942,0.08699417091207795,True,True
s_aureus,5,charge_density,0.9600577963621568,0.8959419193423891,0.06411587701976773,True,True
s_aureus,5,helix_propensity,0.9436681542803637,0.7677189339343286,0.1759492203460351,True,True
s_aureus,5,hydrophilic_fraction,0.9455720658054736,0.7992074711495584,0.14636459465591523,True,True
s_aureus,5,hydrophobic_moment,0.8328860037440372,0.7771061139209783,0.055779889823058926,True,True
s_aureus,5,mean_hydrophobicity,0.9555549369210431,0.834432539427252,0.12112239749379106,True,True
s_aureus,5,net_charge,0.9324508750134001,0.8644769143322746,0.06797396068112549,True,True
s_aureus,5,pI,0.8899143635250204,0.7601707689445307,0.12974359458048967,True,True
s_aureus,6,charge_density,0.9685332003308127,0.8703594195023991,0.09817378082841355,True,True
s_aureus,6,helix_propensity,0.9571857108651691,0.792773694645455,0.16441201621971413,True,True
s_aureus,6,hydrophilic_fraction,0.9602665073692026,0.8053472845568135,0.15491922281238912,True,True
s_aureus,6,hydrophobic_moment,0.893694583098881,0.7408827805105105,0.15281180258837046,True,True
s_aureus,6,mean_hydrophobicity,0.9574655421367803,0.8476868212179166,0.10977872091886365,True,True
s_aureus,6,net_charge,0.9262946921985731,0.8169524333214592,0.10934225887711391,True,True
s_aureus,6,pI,0.9087193932257597,0.8022652428676044,0.10645415035815531,True,True
s_aureus,7,charge_density,0.9705304003010073,0.8873307799240617,0.08319962037694562,True,True
s_aureus,7,helix_propensity,0.9368106408672815,0.7826978593930332,0.15411278147424834,True,True
s_aureus,7,hydrophilic_fraction,0.9565393514122507,0.8638107651881857,0.09272858622406499,True,True
s_aureus,7,hydrophobic_moment,0.8372900350706802,0.6998228158887498,0.1374672191819304,True,True
s_aureus,7,mean_hydrophobicity,0.9640057574544667,0.8817236623844714,0.08228209506999529,True,True
s_aureus,7,net_charge,0.9392435905901045,0.8537922153840517,0.08545137520605284,True,True
s_aureus,7,pI,0.9041666000361481,0.8026064052633021,0.10156019477284606,True,True
s_aureus,8,charge_density,0.9541688416983893,0.858881993589175,0.09528684810921428,True,True
s_aureus,8,helix_propensity,0.9313375056748135,0.7561359667887584,0.17520153888605516,True,True
s_aureus,8,hydrophilic_fraction,0.9262355390555583,0.8350116688251366,0.09122387023042178,True,True
s_aureus,8,hydrophobic_moment,0.840441024111862,0.7324503985544086,0.10799062555745331,True,True
s_aureus,8,mean_hydrophobicity,0.9525119441559978,0.8395792741140479,0.11293267004194996,True,True
s_aureus,8,net_charge,0.9321775493227593,0.8518498817977896,0.08032766752496967,True,True
s_aureus,8,pI,0.9088621395899558,0.8330413731356063,0.07582076645434943,True,True
s_aureus,9,charge_density,0.9581225116298823,0.8871481979336626,0.07097431369621965,True,True
s_aureus,9,helix_propensity,0.9514705146205783,0.80447857147345,0.14699194314712827,True,True
s_aureus,9,hydrophilic_fraction,0.9413085631300769,0.8581929946696089,0.08311556846046808,True,True
s_aureus,9,hydrophobic_moment,0.8797370563184209,0.8290722072852004,0.05066484903322055,True,True
s_aureus,9,mean_hydrophobicity,0.9470445491094485,0.8944306141530106,0.05261393495643785,True,True
s_aureus,9,net_charge,0.9257525665429515,0.8614453816207059,0.06430718492224552,True,True
